x_m,y_m,w_tr_right_m,w_tr_left_m
5.395904,-1.762435,0.4997,0.4997
5.439088,-1.795060,0.4900,0.4900
5.485132,-1.826476,0.4894,0.4894
5.534528,-1.856273,0.4997,0.4997
5.583253,-1.884207,0.4997,0.4997
5.629918,-1.907401,0.4997,0.4997
5.677483,-1.930284,0.4894,0.4894
5.726110,-1.948427,0.5094,0.5094
5.775963,-1.964707,0.5197,0.5197
5.827205,-1.979369,0.5298,0.5298
5.880000,-1.995616,0.5394,0.5394
5.930000,-2.009673,0.5295,0.5295
5.980000,-2.022438,0.5697,0.5697
6.030000,-2.037770,0.5598,0.5598
