x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
-8.520573,5.536487,0.7259,0.8509,2.770628,0.003884,13.7640
-8.753767,5.627063,0.7515,0.9194,2.771767,0.005215,13.4997
-8.987080,5.717335,0.7368,0.9543,2.773271,0.006815,13.2302
-9.220546,5.807208,0.6957,0.9559,2.775216,0.008735,12.9550
-9.454208,5.896572,0.6787,0.9556,2.777694,0.011075,12.6739
-9.688117,5.985288,0.6760,0.9506,2.780830,0.013992,12.3864
-9.922334,6.073184,0.6576,0.9207,2.784783,0.017614,12.0891
-10.156937,6.160047,0.6502,0.8987,2.789770,0.022253,11.7809
-10.392020,6.245603,0.6800,0.9117,2.796086,0.028246,11.4608
-10.627702,6.329496,0.6888,0.9048,2.804166,0.036351,11.1280
-10.864136,6.411242,0.7099,0.9072,2.814640,0.047385,10.7731
-11.101523,6.490180,0.7253,0.8954,2.828418,0.062768,10.3617
-11.340120,6.565381,0.7440,0.8809,2.846820,0.084355,9.9176
-11.580253,6.635531,0.7712,0.8678,2.872121,0.117953,9.4527
-11.822343,6.698566,0.8033,0.8492,2.907577,0.165582,8.9637
-12.066850,6.751528,0.8497,0.8164,2.961532,0.266090,8.4464
-12.314309,6.788119,0.9084,0.7552,3.032278,0.300079,7.9208
-12.563838,6.806073,0.9818,0.6766,3.108477,0.309873,7.7853
-12.813998,6.804673,1.0617,0.5860,-3.095061,0.327720,7.5539
-13.063201,6.782820,1.1473,0.4998,-3.010920,0.345990,7.3353
-13.309576,6.739543,1.2001,0.4000,-2.922110,0.365238,7.1226
-13.550973,6.674010,1.2936,0.4133,-2.831916,0.357145,7.1226
-13.785568,6.587240,1.2971,0.4519,-2.742969,0.355222,7.1297
-14.011559,6.480024,1.2530,0.5689,-2.653690,0.359801,7.0234
-14.227032,6.352955,1.1018,0.6542,-2.562703,0.368917,6.8962
-14.429914,6.206595,0.9359,0.7452,-2.468079,0.388997,6.7451
-14.617655,6.041243,0.7332,0.7995,-2.367374,0.417817,6.5848
-14.787158,5.857250,0.6120,0.9201,-2.258845,0.451918,6.3349
-14.934893,5.655337,0.5240,1.0232,-2.141102,0.492034,6.0409
-15.056814,5.436833,0.4614,1.0879,-2.010564,0.555343,5.6412
-15.147401,5.203671,0.4403,1.1343,-1.888595,0.422803,5.6412
-15.212938,4.962216,0.4311,1.1446,-1.793815,0.336449,6.5731
-15.257969,4.716139,0.4263,1.1310,-1.716469,0.282659,7.4473
-15.285521,4.467487,0.4303,1.1069,-1.650759,0.243154,8.0980
