x_m,y_m,w_tr_right_m,w_tr_left_m
-4.616460,-4.286438,0.6894,0.6894
-4.668128,-4.287701,0.6992,0.6992
-4.720182,-4.287579,0.7091,0.7091
-4.771653,-4.286078,0.7197,0.7197
-4.823430,-4.283204,0.7295,0.7295
-4.874548,-4.278973,0.7394,0.7394
-4.925896,-4.273403,0.7492,0.7492
-4.976512,-4.266521,0.7500,0.7500
-5.027290,-4.257372,0.7492,0.7492
-5.078140,-4.246861,0.7689,0.7689
-5.128106,-4.235028,0.7591,0.7591
-5.177217,-4.221917,0.7291,0.7291
-5.226370,-4.207580,0.7091,0.7091
-5.274612,-4.192073,0.7492,0.7492
-5.322845,-4.175458,0.7291,0.7291
-5.370117,-4.156818,0.7591,0.7591
-5.416463,-4.137094,0.7492,0.7492
-5.462787,-4.116362,0.7394,0.7394
-5.508140,-4.093720,0.7689,0.7689
-5.552560,-4.070123,0.7591,0.7591
-5.596954,-4.045660,0.8091,0.8091
-5.640376,-4.019444,0.7991,0.7991
-5.682866,-3.992444,0.8189,0.8189
-5.725334,-3.964763,0.8091,0.8091
-5.766837,-3.935528,0.8389,0.8389
-5.807418,-3.904737,0.8400,0.8400
-5.847120,-3.873376,0.8400,0.8400
-5.885984,-3.840582,0.8389,0.8389
-5.924053,-3.806365,0.8292,0.8292
-5.961369,-3.771722,0.8594,0.8594
-5.998845,-3.735802,0.8195,0.8195
-6.035542,-3.698625,0.8098,0.8098
-6.071504,-3.660215,0.8389,0.8389
-6.106778,-3.620600,0.8189,0.8189
-6.141407,-3.579809,0.8195,0.8195
-6.175438,-3.537004,0.8189,0.8189
-6.208915,-3.494186,0.7991,0.7991
-6.241884,-3.450525,0.8189,0.8189
-6.274389,-3.406061,0.7991,0.7991
-6.306477,-3.360837,0.7492,0.7492
-6.338191,-3.314030,0.7591,0.7591
-6.369579,-3.266671,0.7291,0.7291
-6.400683,-3.218810,0.7591,0.7591
-6.431551,-3.169628,0.7291,0.7291
-6.462226,-3.119293,0.7091,0.7091
-6.492755,-3.069825,0.7291,0.7291
-6.523182,-3.020413,0.7194,0.7194
-6.553552,-2.970247,0.7091,0.7091
-6.583911,-2.920372,0.7291,0.7291
-6.614304,-2.868997,0.7091,0.7091
-6.644776,-2.817167,0.7291,0.7291
-6.675373,-2.765927,0.7194,0.7194
-6.706139,-2.713488,0.7091,0.7091
-6.737119,-2.660892,0.7291,0.7291
-6.768359,-2.608317,0.7091,0.7091
-6.799905,-2.555936,0.7592,0.7592
-6.831800,-2.502941,0.7495,0.7495
-6.864091,-2.449390,0.7291,0.7291
-6.896823,-2.394466,0.7591,0.7591
-6.930040,-2.340189,0.7291,0.7291
-6.963788,-2.286723,0.7194,0.7194
-6.998112,-2.234231,0.7495,0.7495
-7.033058,-2.182878,0.7398,0.7398
-7.068670,-2.132826,0.7398,0.7398
-7.104994,-2.083256,0.7398,0.7398
