x_m,y_m,w_tr_right_m,w_tr_left_m
-0.427890,1.604000,0.8295,0.8295
-0.428037,1.554000,0.8394,0.8394
-0.426795,1.504000,0.8492,0.8492
-0.424000,1.454000,0.8500,0.8500
-0.424000,1.404000,0.8598,0.8598
-0.424000,1.354000,0.8697,0.8697
-0.424000,1.304000,0.8795,0.8795
-0.424000,1.254000,0.8894,0.8894
-0.424000,1.204000,0.8992,0.8992
-0.424000,1.154000,0.9091,0.9091
-0.424000,1.104000,0.9189,0.9189
-0.424000,1.054000,0.9288,0.9288
-0.424000,1.004000,0.9488,0.9488
-0.421205,0.954000,0.9000,0.9000
-0.419963,0.904000,0.9098,0.9098
-0.420110,0.854000,0.9197,0.9197
-0.421483,0.804000,0.9295,0.9295
-0.423918,0.754000,0.9394,0.9394
-0.427253,0.704000,0.9894,0.9894
-0.431323,0.654000,0.9992,0.9992
-0.435965,0.604000,1.0091,1.0091
-0.441015,0.554000,1.0189,1.0189
-0.446311,0.504000,1.0288,1.0288
-0.451689,0.454000,1.0386,1.0386
-0.456985,0.404000,1.0586,1.0586
-0.464830,0.354000,1.0886,1.0886
-0.473510,0.304000,1.0984,1.0984
-0.481470,0.254000,1.0888,1.0888
-0.487321,0.204000,1.1189,1.1189
-0.489839,0.154000,1.1491,1.1491
-0.487959,0.101205,1.1792,1.1792
-0.480783,0.049963,1.2094,1.2094
-0.467576,0.000110,1.2794,1.2794
-0.447766,-0.051312,1.2783,1.2783
-0.425455,-0.100119,1.2583,1.2583
-0.397766,-0.146637,1.2686,1.2686
-0.364781,-0.193990,1.2998,1.2998
-0.326746,-0.240949,1.2783,1.2783
-0.284069,-0.286454,1.2783,1.2783
-0.237321,-0.329606,1.2686,1.2686
-0.187240,-0.366873,1.2583,1.2583
-0.134722,-0.402031,1.2384,1.2384
-0.080832,-0.434509,1.2583,1.2583
-0.026795,-0.463898,1.2384,1.2384
0.026000,-0.489952,1.2583,1.2583
0.076000,-0.512590,1.2384,1.2384
0.126000,-0.529099,1.2484,1.2484
0.176000,-0.544071,1.2500,1.2500
0.226000,-0.557752,1.2000,1.2000
0.276000,-0.570551,1.2000,1.2000
0.326000,-0.585833,1.2000,1.2000
0.376000,-0.595477,1.1984,1.1984
0.426000,-0.603176,1.1500,1.1500
0.476000,-0.609992,1.1500,1.1500
0.526000,-0.612639,1.1500,1.1500
