x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
-1.448478,0.055720,0.4710,1.1416,-0.430971,0.076844,5.5516
-1.220335,-0.046537,0.4766,1.1492,-0.406125,0.121934,5.4560
-0.989167,-0.141799,0.4636,1.1282,-0.363363,0.220314,5.3576
-0.753127,-0.224191,0.4846,1.1251,-0.302104,0.270110,5.2424
-0.512057,-0.290486,0.5332,1.1214,-0.230421,0.303938,5.1072
-0.266655,-0.338312,0.5680,1.0831,-0.149024,0.348067,4.9682
-0.018000,-0.364663,0.5993,1.0330,-0.055774,0.399169,4.8252
0.232063,-0.366156,0.6339,0.9790,0.051623,0.461954,4.6779
0.480614,-0.338900,0.6407,0.8897,0.174681,0.525469,4.5257
0.723472,-0.279432,0.5932,0.7450,0.313061,0.585891,4.3683
0.955103,-0.185305,0.5458,0.6143,0.468381,0.662798,4.2050
1.168175,-0.054444,0.5129,0.5163,0.645119,0.760511,4.0350
1.352855,0.114016,0.4984,0.4462,0.847848,0.874952,3.8577
1.497089,0.318349,0.5166,0.4099,1.086653,1.060749,3.6716
1.583473,0.552545,0.5765,0.4140,1.356487,1.130243,3.5455
1.602336,0.801907,0.6719,0.4713,1.607514,0.907783,3.5455
1.565236,1.048998,0.7657,0.5908,1.818858,0.798750,3.9973
1.480211,1.284084,0.8151,0.7292,2.004099,0.694376,4.2829
1.356079,1.501108,0.7948,0.8427,2.165477,0.603729,4.6156
1.200850,1.697123,0.7140,0.9222,2.307181,0.534599,4.9706
1.020968,1.870791,0.6209,0.9796,2.430450,0.454513,5.2989
0.822561,2.023026,0.5483,1.0399,2.533876,0.374690,5.7677
0.610851,2.156038,0.4964,1.1072,2.619896,0.314415,6.2148
0.389371,2.272031,0.4502,1.1594,2.691294,0.257337,6.6198
0.160895,2.373557,0.4258,1.2054,2.749523,0.208814,7.0183
-0.072559,2.463028,0.4239,1.2444,2.794222,0.148908,7.4045
-0.309187,2.543752,0.4177,1.2524,2.821471,0.069121,7.7757
-0.547170,2.620373,0.4259,1.2436,2.834333,0.033775,8.1313
-0.785793,2.694983,0.4636,1.2275,2.839929,0.010992,8.4720
-1.024619,2.768936,0.5327,1.2204,2.840885,-0.003348,8.7986
-1.263384,2.843090,0.5929,1.1961,2.838823,-0.013145,9.1117
-1.501904,2.918027,0.6318,1.1526,2.834721,-0.019672,9.2668
-1.740052,2.994137,0.6495,1.0961,2.829264,-0.023978,9.2214
-1.977740,3.071673,0.6064,0.9884,2.822920,-0.026770,9.1757
-2.214904,3.150799,0.4749,0.8020,2.816024,-0.028397,9.1298
-2.451500,3.231606,0.4066,0.6940,2.808741,-0.029867,9.0837
-2.687485,3.314177,0.4141,0.6784,2.801443,-0.028508,9.0373
-2.922877,3.398428,0.4843,0.7435,2.794953,-0.023414,8.9907
-3.157771,3.484056,0.5879,0.8540,2.789533,-0.019944,8.9439
-3.392235,3.570854,0.6470,0.9276,2.784931,-0.016865,8.8968
-3.626331,3.658640,0.6615,0.9655,2.781032,-0.014331,8.8495
-3.860111,3.747264,0.6401,0.9745,2.777718,-0.012174,8.8019
-4.093621,3.836599,0.6256,0.9873,2.774903,-0.010344,8.7540
-4.326898,3.926538,0.6331,1.0006,2.772513,-0.008780,8.7059
-4.559978,4.016988,0.6534,1.0081,2.770486,-0.007432,8.6575
-4.792889,4.107872,0.6571,0.9966,2.768774,-0.006267,8.6089
-5.025657,4.199120,0.6465,0.9747,2.767334,-0.005253,8.5600
-5.258305,4.290674,0.6221,0.9502,2.766130,-0.004374,8.5107
-5.490853,4.382482,0.5921,0.9297,2.765135,-0.003583,8.4612
-5.723319,4.474499,0.6021,0.9358,2.764315,-0.002982,8.4115
-5.955716,4.566689,0.6321,0.9425,2.763622,-0.002557,8.3614
-6.188054,4.659027,0.6673,0.9424,2.763040,-0.002099,8.3110
-6.420344,4.751488,0.6771,0.9115,2.762573,-0.001640,8.2603
-6.652596,4.844043,0.6724,0.8674,2.762216,-0.001219,8.2093
-6.884819,4.936669,0.6811,0.8415,2.761960,-0.000824,8.1580
-7.117023,5.029344,0.6206,0.7556,2.761813,-0.000351,8.1063
-7.349220,5.122038,0.4877,0.6088,2.761794,0.000194,8.0542
-7.581420,5.214721,0.4154,0.5340,2.761922,0.000835,8.0010
-7.813640,5.307356,0.4406,0.5683,2.762225,0.001588,7.9467
-8.045897,5.399899,0.5208,0.6699,2.762734,0.002480,7.8913
-8.278211,5.492297,0.6080,0.7894,2.763486,0.003541,7.8348
-8.510607,5.584490,0.6739,0.8966,2.764530,0.004809,7.7771
-8.743114,5.676404,0.6885,0.9587,2.765923,0.006333,7.7182
-8.975765,5.767949,0.6736,0.9954,2.767736,0.008170,7.6581
-9.208604,5.859019,0.6447,1.0110,2.770053,0.010366,7.5968
-9.441677,5.949485,0.6163,1.0007,2.772977,0.013024,7.5342
-9.675044,6.039191,0.6139,0.9980,2.776646,0.016324,7.4702
-9.908775,6.127945,0.6214,0.9963,2.781246,0.020474,7.4050
-10.142957,6.215500,0.6229,0.9839,2.787026,0.025768,7.3384
-10.377699,6.301546,0.6298,0.9755,2.794326,0.032625,7.2703
-10.613134,6.385674,0.6240,0.9543,2.803612,0.041662,7.2008
-10.849433,6.467345,0.6352,0.9467,2.815538,0.053739,7.1298
-11.086809,6.545834,0.6707,0.9562,2.831063,0.070462,7.0573
-11.325529,6.620129,0.7005,0.9526,2.851581,0.093683,6.9832
-11.565925,6.688815,0.7320,0.9392,2.879460,0.129385,6.9074
-11.808409,6.749689,0.7460,0.8935,2.918246,0.180979,6.8299
-12.053411,6.799540,0.7862,0.8442,2.976986,0.289348,6.7516
-12.301337,6.831569,0.8639,0.7862,3.054382,0.330546,6.6471
-12.551093,6.843054,0.9747,0.7275,3.137475,0.335159,6.5429
-12.800930,6.833626,1.0391,0.6029,-3.059928,0.352119,6.4361
-13.048964,6.802305,1.1316,0.4966,-2.970160,0.367222,6.3264
-13.293083,6.748418,1.2105,0.4022,-2.876242,0.385521,6.2148
-13.530890,6.671338,1.3111,0.4072,-2.777272,0.407915,6.1011
