x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
18.442964,14.010834,1.7384,0.5262,1.097445,0.151106,6.0000
18.522831,14.191950,1.7152,0.5158,1.223175,0.170577,5.8478
18.577947,14.383371,1.7156,0.5051,1.362405,0.181313,5.6743
18.605059,14.580807,1.7276,0.5000,1.513349,0.198694,5.4952
18.600795,14.780645,1.7593,0.5007,1.660707,0.175625,5.6743
18.569599,14.974142,1.8308,0.5087,1.792151,0.157530,5.8478
18.514930,15.162195,1.8903,0.5275,1.903866,0.133617,6.0000
18.444256,15.336446,1.9614,0.5504,1.996323,0.116500,6.0000
18.366219,15.490318,2.0266,0.5833,2.070450,0.094446,6.0000
18.284866,15.628448,2.1003,0.6135,2.126636,0.075534,6.0000
18.199296,15.759041,2.1712,0.6629,2.172659,0.066918,6.0000
18.104236,15.891421,2.2349,0.7013,2.215852,0.064859,6.0000
17.998048,16.026505,2.2788,0.7451,2.258033,0.058307,6.0000
17.880876,16.163579,2.3035,0.8030,2.300532,0.058389,6.0000
17.749762,16.304092,2.2613,0.8520,2.343672,0.054172,6.0000
17.604599,16.446863,2.1967,0.9162,2.388289,0.055700,6.0000
17.445600,16.589332,2.1061,0.9725,2.436054,0.056046,6.0000
17.271853,16.730297,1.9935,1.0315,2.487291,0.058362,6.0000
17.082563,16.867787,1.8715,1.0867,2.541171,0.057452,6.0000
16.879503,16.998960,1.7683,1.1471,2.593373,0.050932,6.0000
16.664093,17.123328,1.6833,1.2027,2.640949,0.045368,6.0000
16.439358,17.239780,1.5819,1.2627,2.688423,0.048996,6.0000
16.207980,17.345442,1.5082,1.3089,2.740648,0.053978,6.0000
15.971227,17.438225,1.4499,1.3398,2.791113,0.045394,6.0000
15.731002,17.519811,1.3905,1.3732,2.835908,0.042953,6.0000
15.488204,17.590655,1.3595,1.3975,2.875663,0.035665,6.0000
15.243926,17.652482,1.3225,1.4158,2.910393,0.033186,6.0000
14.998112,17.706027,1.2937,1.4278,2.942274,0.030184,6.0000
14.751170,17.752019,1.2723,1.4343,2.973946,0.032869,6.0000
14.503167,17.789789,1.2609,1.4409,3.009824,0.038642,6.0000
14.254054,17.817905,1.2664,1.4263,3.048257,0.038034,6.0000
14.004220,17.836494,1.2642,1.4201,3.083407,0.032143,6.0000
13.754155,17.847024,1.2869,1.3982,3.111705,0.024305,6.0000
13.503261,17.851471,1.2984,1.3854,3.132224,0.016623,6.0000
13.251968,17.851729,1.3217,1.3528,-3.140305,0.004605,6.0000
13.000706,17.850824,1.3492,1.3350,-3.140723,-0.005449,6.0000
12.749992,17.851293,1.3635,1.3022,3.133085,-0.013256,6.0000
12.499584,17.855088,1.3950,1.3050,3.118959,-0.014961,6.0000
12.249739,17.862617,1.3875,1.2781,3.107275,-0.008381,6.0000
11.999858,17.872244,1.4007,1.2722,3.099774,-0.006611,6.0000
11.749693,17.883541,1.4166,1.2834,3.096877,0.000820,6.0000
11.499979,17.894612,1.4089,1.2915,3.098352,0.002129,6.0000
11.250160,17.905154,1.4393,1.2591,3.098868,-0.001096,6.0000
11.000405,17.915969,1.4341,1.2659,3.097095,-0.002455,6.0000
10.750994,17.927381,1.4261,1.2773,3.098641,0.005552,6.0000
10.501419,17.937414,1.4565,1.2874,3.106071,0.009304,6.0000
10.251221,17.945141,1.4549,1.2951,3.113601,0.005745,6.0000
10.000456,17.951440,1.4487,1.3014,3.119431,0.005898,6.0000
9.750142,17.956248,1.4659,1.3062,3.124970,0.005164,6.0000
9.500310,17.959755,1.4903,1.2750,3.127502,-0.000109,6.0000
9.250976,17.963282,1.4868,1.2632,3.126738,-0.001421,6.0000
9.001530,17.967164,1.4829,1.2671,3.124528,-0.003005,6.0000
8.751603,17.971805,1.4816,1.2718,3.124394,0.002737,6.0000
